Geography,Value,Year
Canada,93.6,2018
All CMA or CA,94.4,2018
Areas outside CMA or CA,89.9,2018
Canada,94.2,2020
All CMA or CA,95.3,2020
Areas outside CMA or CA,88.3,2020
